pc_number,attachments,text,date,act,precis
2022-0634,42181," PC Number Date Chapter Bill Dept 2022-06342022-06-06, PMO, , , ActOther Than Statutory AuthorityPrecisAppointment of MOLLIE JOHNSON of Ottawa, Ontario, to be Associate Deputy Minister of Natural Resources, to hold office during pleasure, effective June 20, 2022.AttachmentsAttachment",2022-06-06,Other Than Statutory Authority,"Appointment of MOLLIE JOHNSON of Ottawa, Ontario, to be Associate Deputy Minister of Natural Resources, to hold office during pleasure, effective June 20, 2022."
2022-0635,42182," PC Number Date Chapter Bill Dept 2022-06352022-06-06PMO, , , , ActOther Than Statutory AuthorityPrecisAppointment of TRICIA GEDDES of Ottawa, Ontario, to be Associate Deputy Minister of Public Safety and Emergency Preparedness, to be styled Associate Deputy Minister of Public Safety, to hold office during pleasure, effective June 20, 2022.AttachmentsAttachment",2022-06-06,Other Than Statutory Authority,"Appointment of TRICIA GEDDES of Ottawa, Ontario, to be Associate Deputy Minister of Public Safety and Emergency Preparedness, to be styled Associate Deputy Minister of Public Safety, to hold office during pleasure, effective June 20, 2022."
2022-0636,42183," PC Number Date Chapter Bill Dept 2022-06362022-06-06, , PMO, , ActOther Than Statutory AuthorityPrecisAppointment of KIMBERLY RENÉE MURRAY of Toronto, Ontario, to be special adviser to the Minister of Justice, to be known as Independent Special Interlocutor for Missing Children and Unmarked Graves and Burial Sites Associated with Indian Residential Schools, to hold office during pleasure for a term of two years, effective June 13, 2022.AttachmentsAttachment",2022-06-06,Other Than Statutory Authority,"Appointment of KIMBERLY RENÉE MURRAY of Toronto, Ontario, to be special adviser to the Minister of Justice, to be known as Independent Special Interlocutor for Missing Children and Unmarked Graves and Burial Sites Associated with Indian Residential Schools, to hold office during pleasure for a term of two years, effective June 13, 2022."
2022-0859,42434," PC Number Date Chapter Bill Dept 2022-08592022-07-07, , PMO, , ActPublic Service Employment ActPrecisAppointment of DOMINIQUE BLANCHARD of Ottawa, Ontario, to be Associate Secretary of the Treasury Board, to hold office during pleasure, effective July 18, 2022.AttachmentsAttachment",2022-07-07,Public Service Employment Act,"Appointment of DOMINIQUE BLANCHARD of Ottawa, Ontario, to be Associate Secretary of the Treasury Board, to hold office during pleasure, effective July 18, 2022."
2022-0860,42435," PC Number Date Chapter Bill Dept 2022-08602022-07-07, , , PMO, ActDepartment of Citizenship and Immigration ActPrecisAppointment of CHRISTIANE FOX of Ottawa, Ontario, to be Deputy Minister of Citizenship and Immigration, to be styled Deputy Minister of Immigration, Refugees and Citizenship, to hold office during pleasure, effective July 18, 2022.AttachmentsAttachment",2022-07-07,Department of Citizenship and Immigration Act,"Appointment of CHRISTIANE FOX of Ottawa, Ontario, to be Deputy Minister of Citizenship and Immigration, to be styled Deputy Minister of Immigration, Refugees and Citizenship, to hold office during pleasure, effective July 18, 2022."
2022-0861,42436," PC Number Date Chapter Bill Dept 2022-08612022-07-07, , PMO, , ActPublic Service Employment ActPrecisAppointment of SCOTT HARRIS of Chesterville, Ontario, to be Associate Deputy Minister of Immigration, Refugees and Citizenship, to hold office during pleasure, effective July 18, 2022.AttachmentsAttachment",2022-07-07,Public Service Employment Act,"Appointment of SCOTT HARRIS of Chesterville, Ontario, to be Associate Deputy Minister of Immigration, Refugees and Citizenship, to hold office during pleasure, effective July 18, 2022."
2022-0862,42438," PC Number Date Chapter Bill Dept 2022-08622022-07-07PMO, , , , ActOther Than Statutory AuthorityPrecisAppointment of GINA WILSON of Gatineau, Quebec, to be Deputy Minister of Indigenous Services, to hold office during pleasure, effective July 18, 2022.AttachmentsAttachment",2022-07-07,Other Than Statutory Authority,"Appointment of GINA WILSON of Gatineau, Quebec, to be Deputy Minister of Indigenous Services, to hold office during pleasure, effective July 18, 2022."
2022-0867,42442," PC Number Date Chapter Bill Dept 2022-08672022-07-07, , , PMO, ActDepartment for Women and Gender Equality ActPrecisAppointment of FRANCES MCRAE of Ottawa, Ontario, to be Deputy Minister of Women and Gender Equality, to be styled as Deputy Minister of Women and Gender Equality and Youth, to hold office during pleasure, effective July 18, 2022.AttachmentsAttachment",2022-07-07,Department for Women and Gender Equality Act,"Appointment of FRANCES MCRAE of Ottawa, Ontario, to be Deputy Minister of Women and Gender Equality, to be styled as Deputy Minister of Women and Gender Equality and Youth, to hold office during pleasure, effective July 18, 2022."
2022-0876,42449," PC Number Date Chapter Bill Dept 2022-08762022-07-14, , , , PMOActImpact Assessment ActPublic Service Employment ActPrecisAppointment of KEN MACKILLOP of Ottawa, Ontario, to be Associate Deputy Minister of Veterans Affairs, to hold office during pleasure, effective July 25, 2022.AttachmentsAttachment",2022-07-14,"Impact Assessment Act
Public Service Employment Act","Appointment of KEN MACKILLOP of Ottawa, Ontario, to be Associate Deputy Minister of Veterans Affairs, to hold office during pleasure, effective July 25, 2022."
2022-0933,42521," PC Number Date Chapter Bill Dept 2022-09332022-08-25, , , PMO, ActPublic Service Employment ActPrecisAppointment of ARUN THANGARAJ of Ottawa, Ontario, to be Associate Deputy Minister of Immigration, Refugees and Citizenship, to hold office during pleasure, effective September 6, 2022.AttachmentsAttachment",2022-08-25,Public Service Employment Act,"Appointment of ARUN THANGARAJ of Ottawa, Ontario, to be Associate Deputy Minister of Immigration, Refugees and Citizenship, to hold office during pleasure, effective September 6, 2022."
2022-0934,42522," PC Number Date Chapter Bill Dept 2022-09342022-08-25, , , , PMOActWestern Economic Diversification ActPrecisAppointment of DIANE GRAY of Winnipeg, Manitoba, to be Deputy Minister of Western Economic Diversification, to be styled as President of Prairies Economic Development Canada, to hold office during pleasure, effective October 31, 2022.AttachmentsAttachment",2022-08-25,Western Economic Diversification Act,"Appointment of DIANE GRAY of Winnipeg, Manitoba, to be Deputy Minister of Western Economic Diversification, to be styled as President of Prairies Economic Development Canada, to hold office during pleasure, effective October 31, 2022."
2022-1094,42692," PC Number Date Chapter Bill Dept 2022-10942022-10-11, , , PMO, ActPublic Service Employment ActPrecisAppointment of KAILI LEVESQUE of Ottawa, Ontario, to be Deputy Secretary to the Cabinet (Operations), Privy Council Office, to hold office during pleasure, effective October 17, 2022.AttachmentsAttachment",2022-10-11,Public Service Employment Act,"Appointment of KAILI LEVESQUE of Ottawa, Ontario, to be Deputy Secretary to the Cabinet (Operations), Privy Council Office, to hold office during pleasure, effective October 17, 2022."
2022-1095,42693," PC Number Date Chapter Bill Dept 2022-10952022-10-11, , , PMO, ActPublic Service Employment ActPrecisAppointment of VALERIE GIDEON of Gatineau, Quebec, Associate Deputy Minister of Indigenous Services, to be concurrently President of the Federal Economic Development Agency for Northern Ontario, to hold office during pleasure, effective October 17, 2022.AttachmentsAttachment",2022-10-11,Public Service Employment Act,"Appointment of VALERIE GIDEON of Gatineau, Quebec, Associate Deputy Minister of Indigenous Services, to be concurrently President of the Federal Economic Development Agency for Northern Ontario, to hold office during pleasure, effective October 17, 2022."
2022-1096,42694," PC Number Date Chapter Bill Dept 2022-10962022-10-11, PMO, , , ActDepartment of Public Safety and Emergency Prepareness ActPrecisAppointment of SHAWN TUPPER of Ottawa, Ontario, to be Deputy Minister of Public Safety and Emergency Preparedness, to be styled Deputy Minister of Public Safety, to hold office during pleasure, effective October 17, 2022.AttachmentsAttachment",2022-10-11,Department of Public Safety and Emergency Prepareness Act,"Appointment of SHAWN TUPPER of Ottawa, Ontario, to be Deputy Minister of Public Safety and Emergency Preparedness, to be styled Deputy Minister of Public Safety, to hold office during pleasure, effective October 17, 2022."
2022-1097,42695," PC Number Date Chapter Bill Dept 2022-10972022-10-11, , PMO, , ActDepartment of Foreign Affairs, Trade and Development ActPrecisAppointment of ROBERT STEWART of Ottawa, Ontario, to be Associate Deputy Minister of Foreign Affairs, to hold office during pleasure; and his designation as Deputy Minister for International Trade, to be styled Deputy Minister of International Trade, effective October 17, 2022.AttachmentsAttachment",2022-10-11,"Department of Foreign Affairs, Trade and Development Act","Appointment of ROBERT STEWART of Ottawa, Ontario, to be Associate Deputy Minister of Foreign Affairs, to hold office during pleasure; and his designation as Deputy Minister for International Trade, to be styled Deputy Minister of International Trade, effective October 17, 2022."
2022-1098,42696," PC Number Date Chapter Bill Dept 2022-10982022-10-11, , PMO, , ActDepartment of Foreign Affairs, Trade and Development ActPrecisAppointment of DAVID MORRISON of Ottawa, Ontario, to be Deputy Minister of Foreign Affairs, to hold office during pleasure, effective October 17, 2022.AttachmentsAttachment",2022-10-11,"Department of Foreign Affairs, Trade and Development Act","Appointment of DAVID MORRISON of Ottawa, Ontario, to be Deputy Minister of Foreign Affairs, to hold office during pleasure, effective October 17, 2022."
2022-1156,42750," PC Number Date Chapter Bill Dept 2022-11562022-10-20, , , , , PMOActDepartment of Fisheries and Oceans ActPrecisAppointment of ANNETTE GIBBONS of Ottawa, Ontario, to be Deputy Minister of Fisheries and Oceans, to hold office during pleasure, effective October 31, 2022.AttachmentsAttachment",2022-10-20,Department of Fisheries and Oceans Act,"Appointment of ANNETTE GIBBONS of Ottawa, Ontario, to be Deputy Minister of Fisheries and Oceans, to hold office during pleasure, effective October 31, 2022."
2022-1157,42749," PC Number Date Chapter Bill Dept 2022-11572022-10-20, , , , PMO, ActPublic Service Employment ActPrecisAppointment of DOMINIC ROCHON of Ottawa, Ontario, to be Associate Deputy Minister of Transport, to hold office during pleasure, effective October 31, 2022.AttachmentsAttachment",2022-10-20,Public Service Employment Act,"Appointment of DOMINIC ROCHON of Ottawa, Ontario, to be Associate Deputy Minister of Transport, to hold office during pleasure, effective October 31, 2022."
2022-1158,42748," PC Number Date Chapter Bill Dept 2022-11582022-10-20, PMO, , , ActPublic Service Employment ActPrecisAppointment of SUZY MCDONALD of Ottawa, Ontario, to be Associate Deputy Minister of Agriculture and Agri-Food, to hold office during pleasure, effective October 31, 2022.AttachmentsAttachment",2022-10-20,Public Service Employment Act,"Appointment of SUZY MCDONALD of Ottawa, Ontario, to be Associate Deputy Minister of Agriculture and Agri-Food, to hold office during pleasure, effective October 31, 2022."
2022-1159,42747," PC Number Date Chapter Bill Dept 2022-11592022-10-20, , , , PMOActPublic Service Employment ActPrecisAppointment of CATHERINE BLEWETT of Halifax, Nova Scotia, Deputy Minister of Economic Development, to be concurrently President of the Atlantic Canada Opportunities Agency, to hold office during pleasure, effective November 26, 2022.AttachmentsAttachment",2022-10-20,Public Service Employment Act,"Appointment of CATHERINE BLEWETT of Halifax, Nova Scotia, Deputy Minister of Economic Development, to be concurrently President of the Atlantic Canada Opportunities Agency, to hold office during pleasure, effective November 26, 2022."
2022-1160,42746," PC Number Date Chapter Bill Dept 2022-11602022-10-20, , PMO, , ActPublic Service Employment ActPrecisAppointment of LAWRENCE HANSON of Ottawa, Ontario, to be Associate Deputy Minister of Environment and Climate Change, to hold office during pleasure, effective November 14, 2022.AttachmentsAttachment",2022-10-20,Public Service Employment Act,"Appointment of LAWRENCE HANSON of Ottawa, Ontario, to be Associate Deputy Minister of Environment and Climate Change, to hold office during pleasure, effective November 14, 2022."
2022-1161,42745," PC Number Date Chapter Bill Dept 2022-11612022-10-20, , , PMO, ActPublic Service Employment ActPrecisAppointment of KEVIN BROSSEAU of Ottawa, Ontario, to be Associate Deputy Minister of Fisheries and Oceans, to hold office during pleasure, effective November 14, 2022.AttachmentsAttachment",2022-10-20,Public Service Employment Act,"Appointment of KEVIN BROSSEAU of Ottawa, Ontario, to be Associate Deputy Minister of Fisheries and Oceans, to hold office during pleasure, effective November 14, 2022."
1990-0292,," PC Number Date Chapter Bill Dept 1990-02921990-02-150, , , , , , PrecisAppointment of Mr. JOHN C. PERLIN, L.V.O., of the City of St. John's, Newfoundland, as Canadian Secretary to The Queen and Coordinator of Her Majesty's Visit to Canada from June 27 to July 1, 1990 and ending July 13, 1990. Attachments",1990-02-15,NA,"Appointment of Mr. JOHN C. PERLIN, L.V.O., of the City of St. John's, Newfoundland, as Canadian Secretary to The Queen and Coordinator of Her Majesty's Visit to Canada from June 27 to July 1, 1990 and ending July 13, 1990."
1990-1034,," PC Number Date Chapter Bill Dept 1990-10341990-05-310, , , , COMPrecisApproval of the appointment by the NATIONAL FILM BOARD of JEAN-CLAUDE MAHÉ, Director of Communications and Secretary to the Board of Trustees. Attachments",1990-05-31,NA,"Approval of the appointment by the NATIONAL FILM BOARD of JEAN-CLAUDE MAHÉ, Director of Communications and Secretary to the Board of Trustees."
1990-1303,," PC Number Date Chapter Bill Dept 1990-13031990-06-260, , , , PMOPrecisAppointment of Judith A. LaRocque, of Ottawa, Ontario, as Secretary to the Governor General to hold office during pleasure. Attachments",1990-06-26,NA,"Appointment of Judith A. LaRocque, of Ottawa, Ontario, as Secretary to the Governor General to hold office during pleasure."
1990-1935,," PC Number Date Chapter Bill Dept 1990-19351990-08-290, , , , PMOPrecisAppointment of Gordon S. Smith as Secretary to the Cabinet for Federal-Provincial Relations, effective September 1, 1990. Attachments",1990-08-29,NA,"Appointment of Gordon S. Smith as Secretary to the Cabinet for Federal-Provincial Relations, effective September 1, 1990."
1990-2844,," PC Number Date Chapter Bill Dept 1990-28441990-12-210, EA, , , PrecisApproval of the re-appointment by the Secretary of State for External Affairs of Gastien Godin, of Shippegan, New Brunswick, as a director of the Board of Directors of the International Centre for Ocean Development to hold office during pleasure for a term of three years. Attachments",1990-12-21,NA,"Approval of the re-appointment by the Secretary of State for External Affairs of Gastien Godin, of Shippegan, New Brunswick, as a director of the Board of Directors of the International Centre for Ocean Development to hold office during pleasure for a term of three years."
1990-2845,," PC Number Date Chapter Bill Dept 1990-28451990-12-210EA, , , , PrecisApproval of the appointment by the Secretary of State for External Affairs of certain persons as directors of the Board of Directors of the International Centre for Ocean Development to hold office during pleasure for a term of three years. (Pierre Béland, St-Anaclet, Quebec, in the place of Robert Maguire, whose term has expired; and Paul Henri LeBlond, Vancouver, British Columbia, in the place of Mary Jo Duncan, whose term has expired) Attachments",1990-12-21,NA,"Approval of the appointment by the Secretary of State for External Affairs of certain persons as directors of the Board of Directors of the International Centre for Ocean Development to hold office during pleasure for a term of three years. (Pierre Béland, St-Anaclet, Quebec, in the place of Robert Maguire, whose term has expired; and Paul Henri LeBlond, Vancouver, British Columbia, in the place of Mary Jo Duncan, whose term has expired)"
1991-0191,," PC Number Date Chapter Bill Dept 1991-01911991-01-310, PMO, , PrecisAppointment of LEE RICHARDSON to be Parliamentary Secretary to the Minister of Communications for a period terminating March 31, 1991. Attachments",1991-01-31,NA,"Appointment of LEE RICHARDSON to be Parliamentary Secretary to the Minister of Communications for a period terminating March 31, 1991."
1991-0722,," PC Number Date Chapter Bill Dept 1991-07221991-04-170TC, , , , PrecisAppointment of Winston D. Steeves, of Elgin, New Brunswick, as secretary of the Board to the Intercolonial and Prince Edward Island Railways Employees' Provident Fund, in the place of J. Pamphile Leger, who has retired. Attachments",1991-04-17,NA,"Appointment of Winston D. Steeves, of Elgin, New Brunswick, as secretary of the Board to the Intercolonial and Prince Edward Island Railways Employees' Provident Fund, in the place of J. Pamphile Leger, who has retired."
1991-1075,," PC Number Date Chapter Bill Dept 1991-10751991-06-120, PMO, , , , PrecisAppointment of Paul M. Tellier, Q.C., Clerk of the Queen's Privy Council for Canada and the Secretary to the Cabinet, to be concurrently, Secretary to the Cabinet for Federal-Provincial Relations. Attachments",1991-06-12,NA,"Appointment of Paul M. Tellier, Q.C., Clerk of the Queen's Privy Council for Canada and the Secretary to the Cabinet, to be concurrently, Secretary to the Cabinet for Federal-Provincial Relations."
1991-1701,," PC Number Date Chapter Bill Dept 1991-17011991-09-050, , , , PMOPrecisAppointment of Marc Rochon, of Gatineau, Quebec, as Under-Secretary of State, Department of the Secretary of State of Canada, to hold office during pleasure, effective September 9, 1991. Attachments",1991-09-05,NA,"Appointment of Marc Rochon, of Gatineau, Quebec, as Under-Secretary of State, Department of the Secretary of State of Canada, to hold office during pleasure, effective September 9, 1991."
1991-1733,," PC Number Date Chapter Bill Dept 1991-17331991-09-170, , , , PMOPrecisAppointment of Reid Morden, of Ottawa, Ontario, as Under-Secretary of State for External Affairs to hold office during pleasure, effective September 23, 1991. Attachments",1991-09-17,NA,"Appointment of Reid Morden, of Ottawa, Ontario, as Under-Secretary of State for External Affairs to hold office during pleasure, effective September 23, 1991."
1991-1967,," PC Number Date Chapter Bill Dept 1991-19671991-10-100, , , PMO, PrecisTermination of the appointment of Dorothy Dobbie as Parliamentary Secretary to the Minister of Consumer and Corporate Affairs and Minister of State (Agriculture), effective October 7, 1991; and appointment of James Stewart Edwards as Parliamentary Secretary to the Minister of Consumer and Corporate Affairs and Minister of State (Agriculture), effective October 8, 1991 and terminating May 7, 1992. Attachments",1991-10-10,NA,"Termination of the appointment of Dorothy Dobbie as Parliamentary Secretary to the Minister of Consumer and Corporate Affairs and Minister of State (Agriculture), effective October 7, 1991; and appointment of James Stewart Edwards as Parliamentary Secretary to the Minister of Consumer and Corporate Affairs and Minister of State (Agriculture), effective October 8, 1991 and terminating May 7, 1992."
1991-2319,," PC Number Date Chapter Bill Dept 1991-23191991-11-210, PMO, , , PrecisTermination of the appointment of LISE BOURGAULT as Parliamentary Secretary to the Minister of Supply and Services, effective November 18, 1991. Attachments",1991-11-21,NA,"Termination of the appointment of LISE BOURGAULT as Parliamentary Secretary to the Minister of Supply and Services, effective November 18, 1991."
1991-2392,," PC Number Date Chapter Bill Dept 1991-23921991-12-020, IT, , , PrecisAppointment of Cathy Beehan, of Vanier, Ontario, as Secretary of the Canadian Secretariat to hold office for a term of five years, effective January 1, 1992. Attachments",1991-12-02,NA,"Appointment of Cathy Beehan, of Vanier, Ontario, as Secretary of the Canadian Secretariat to hold office for a term of five years, effective January 1, 1992."
1992-0280,," PC Number Date Chapter Bill Dept 1992-02801992-02-130, , , , PrecisAppointment of Richard M. Hansen, C.C., O.B.C., of Vancouver, British Columbia, as Canadian Secretary to The Queen and Coordinator of Her Majesty's Visit to Canada from June 30 to July 2, 1992, for a term ending July 10, 1992. Attachments",1992-02-13,NA,"Appointment of Richard M. Hansen, C.C., O.B.C., of Vancouver, British Columbia, as Canadian Secretary to The Queen and Coordinator of Her Majesty's Visit to Canada from June 30 to July 2, 1992, for a term ending July 10, 1992."
1992-0675,," PC Number Date Chapter Bill Dept 1992-06751992-04-020, , EA, , PrecisAppointment of J. Reid Morden, Under-Secretary of State for External Affairs, as Alternate Governor of the European Bank for Reconstruction and Development. Attachments",1992-04-02,NA,"Appointment of J. Reid Morden, Under-Secretary of State for External Affairs, as Alternate Governor of the European Bank for Reconstruction and Development."
1992-1286,," PC Number Date Chapter Bill Dept 1992-12861992-06-160, , , , , PMOPrecisAppointment of Jocelyne Bourgon as Secretary to the Cabinet for Federal- Provincial Relations, effective July 1, 1992. Attachments",1992-06-16,NA,"Appointment of Jocelyne Bourgon as Secretary to the Cabinet for Federal- Provincial Relations, effective July 1, 1992."
1992-1291,," PC Number Date Chapter Bill Dept 1992-12911992-06-160PMO, , , , PrecisAppointment of Glen S. Shortliffe, of Ottawa, Ontario, as the Clerk of the Queen's Privy Council for Canada and the Secretary to the Cabinet, effective July 1, 1992. Attachments",1992-06-16,NA,"Appointment of Glen S. Shortliffe, of Ottawa, Ontario, as the Clerk of the Queen's Privy Council for Canada and the Secretary to the Cabinet, effective July 1, 1992."
1992-1355,," PC Number Date Chapter Bill Dept 1992-13551992-06-180, , , , MCCPrecisDesignation of the parts of the Department of the SECRETARY OF STATE, which facilitate the establishment of the real corporation infrastructure of the Department of Multiculturalism and Citizenship and the consequential appointment of certain employees of the Department of the Secretary of State to Multiculturalism and Citizenship Canada; and revocation of Order in Council P.C. 1991-1040. Attachments",1992-06-18,NA,"Designation of the parts of the Department of the SECRETARY OF STATE, which facilitate the establishment of the real corporation infrastructure of the Department of Multiculturalism and Citizenship and the consequential appointment of certain employees of the Department of the Secretary of State to Multiculturalism and Citizenship Canada; and revocation of Order in Council P.C. 1991-1040."
1992-1479,," PC Number Date Chapter Bill Dept 1992-14791992-07-070, , , PMO, , , PrecisAppointment of the Hon. EDMUND DAVIE FULTON, P.C., Q.C., as Special Advisor to the Secretary of State for External Affairs who shall hold office during pleasure for a term beginning July 8, 1992 and ending September 15, 1992. Attachments",1992-07-07,NA,"Appointment of the Hon. EDMUND DAVIE FULTON, P.C., Q.C., as Special Advisor to the Secretary of State for External Affairs who shall hold office during pleasure for a term beginning July 8, 1992 and ending September 15, 1992."
1992-1484,," PC Number Date Chapter Bill Dept 1992-14841992-07-070, , , PMO, , PrecisAppointment of Bernard Wood as Special Advisor to the Under-Secretary of State for External Affairs to hold office during pleasure for a term ending on September 6, 1994. Attachments",1992-07-07,NA,"Appointment of Bernard Wood as Special Advisor to the Under-Secretary of State for External Affairs to hold office during pleasure for a term ending on September 6, 1994."
1992-2267,," PC Number Date Chapter Bill Dept 1992-22671992-10-300, , , PMO, PrecisAppointment of MICHÈLE JEAN to be Under-Secretary of State, Department of the Secretary of State of Canada, to hold office during pleasure. Attachments",1992-10-30,NA,"Appointment of MICHÈLE JEAN to be Under-Secretary of State, Department of the Secretary of State of Canada, to hold office during pleasure."
1993-0234,," PC Number Date Chapter Bill Dept 1993-02341993-02-100, , PMO, , , PrecisTerminate, effective February 8, 1993, the appointment of Charles A. Langlois as Parliamentary Secretary to the Minister of Industry, Science and Technology made by Order in Council P.C. 1992-860 of April 30, 1992; and appoint, effective February 9, 1993 for a period terminating May 7, 1993, Charles A. Langlois, a Member of the House of Commons to be Parliamentary Secretary to the Leader of the Government in the House of Commons. Attachments",1993-02-10,NA,"Terminate, effective February 8, 1993, the appointment of Charles A. Langlois as Parliamentary Secretary to the Minister of Industry, Science and Technology made by Order in Council P.C. 1992-860 of April 30, 1992; and appoint, effective February 9, 1993 for a period terminating May 7, 1993, Charles A. Langlois, a Member of the House of Commons to be Parliamentary Secretary to the Leader of the Government in the House of Commons."
1993-0236,," PC Number Date Chapter Bill Dept 1993-02361993-02-100, , , , , PMOPrecisAppointment of Marcel Massé as Secretary to the Cabinet for Federal- Provincial Relations, effective March 1, 1993. Attachments",1993-02-10,NA,"Appointment of Marcel Massé as Secretary to the Cabinet for Federal- Provincial Relations, effective March 1, 1993."
1993-0461,," PC Number Date Chapter Bill Dept 1993-04611993-03-110, , , , , PMOPrecisOrder terminating certain appointments and appointing certain Members of Parliament as PARLIAMENTARY SECRETARY. Attachments",1993-03-11,NA,Order terminating certain appointments and appointing certain Members of Parliament as PARLIAMENTARY SECRETARY.
1993-0556,," PC Number Date Chapter Bill Dept 1993-05561993-03-230, , , , , , PMOPrecisTermination of the appointment of Patrick Boyer as Parliamentary Secretary to the Minister of National Defence and appointment of Charles A. Langlois as Parliamentary Secretary to the Minister of National Defence for a period terminating March 11, 1994; and termination of the appointment of Peter L. McCreath as Parliamentary Secretary to the Minister of Industry, Science and Technology and appointment of Patrick Boyer as Parliamentary Secretary to the Minister of Industry, Science and Technology for a period terminating March 11, 1994. Attachments",1993-03-23,NA,"Termination of the appointment of Patrick Boyer as Parliamentary Secretary to the Minister of National Defence and appointment of Charles A. Langlois as Parliamentary Secretary to the Minister of National Defence for a period terminating March 11, 1994; and termination of the appointment of Peter L. McCreath as Parliamentary Secretary to the Minister of Industry, Science and Technology and appointment of Patrick Boyer as Parliamentary Secretary to the Minister of Industry, Science and Technology for a period terminating March 11, 1994."
1993-1498,," PC Number Date Chapter Bill Dept 1993-14981993-06-250, , , , PMO, , PrecisAppointment of Ian D. Clark, Secretary of the Treasury Board, to be concurrently Comptroller General of Canada, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of Ian D. Clark, Secretary of the Treasury Board, to be concurrently Comptroller General of Canada, to hold office during pleasure."
1993-1510,," PC Number Date Chapter Bill Dept 1993-15101993-06-250PMO, , , , , , PrecisAppointment of J. Andrew Macdonald to the position of Special Advisor to the Secretary of the Treasury Board, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of J. Andrew Macdonald to the position of Special Advisor to the Secretary of the Treasury Board, to hold office during pleasure."
1993-2223,," PC Number Date Chapter Bill Dept 1993-22231993-12-310IT, , , , PrecisAppointment of CATHY BEEHAN, of Ottawa, Ontario, as Secretary of the Canadian Section of the Secretariat established pursuant to section 14 of An Act to implement the North American Free Trade Agreement, and as Secretary of the Canadian Section of the Secretariat established under the Canada-Free Trade Agreement, to hold office for a term of six months commencing January 1, 1994. Attachments",1993-12-31,NA,"Appointment of CATHY BEEHAN, of Ottawa, Ontario, as Secretary of the Canadian Section of the Secretariat established pursuant to section 14 of An Act to implement the North American Free Trade Agreement, and as Secretary of the Canadian Section of the Secretariat established under the Canada-Free Trade Agreement, to hold office for a term of six months commencing January 1, 1994."
1994-0191,," PC Number Date Chapter Bill Dept 1994-01911994-02-030COM, , , , PrecisAppointment of Major General M. GASTON CLOUTIER , C.M.M., C.D., as CANADIAN SECRETARY TO THE QUEEN and COORDINATOR of Her Majesty's Visit to Canada from August 13 to August 23, 1994, for a term ending August 31, 1994. Attachments",1994-02-03,NA,"Appointment of Major General M. GASTON CLOUTIER , C.M.M., C.D., as CANADIAN SECRETARY TO THE QUEEN and COORDINATOR of Her Majesty's Visit to Canada from August 13 to August 23, 1994, for a term ending August 31, 1994."
1994-0298,," PC Number Date Chapter Bill Dept 1994-02981994-02-240, , , , PMOPrecisAppointment of Jocelyne Bourgon as Clerk of the Queen's Privy Council for Canada and the Secretary to the Cabinet, effective March 28, 1994. Attachments",1994-02-24,NA,"Appointment of Jocelyne Bourgon as Clerk of the Queen's Privy Council for Canada and the Secretary to the Cabinet, effective March 28, 1994."
1994-0360,," PC Number Date Chapter Bill Dept 1994-03601994-02-240, , , PMO, PrecisAppointment of the Secretary of State for External Affairs as Governor of the Asian Development Bank, the Caribbean Development Bank, the Inter-American Development Bank and the African Development Bank; and revocation of Order in Council P.C. 1993-1620 of July 28, 1993. Attachments",1994-02-24,NA,"Appointment of the Secretary of State for External Affairs as Governor of the Asian Development Bank, the Caribbean Development Bank, the Inter-American Development Bank and the African Development Bank; and revocation of Order in Council P.C. 1993-1620 of July 28, 1993."
1994-0715,," PC Number Date Chapter Bill Dept 1994-07151994-05-030, , , PMO, PrecisAppointment of Robert J. Giroux as Secretary of the Treasury Board and concurrently Comptroller General of Canada, to hold office during pleasure, effective May 9, 1994. Attachments",1994-05-03,NA,"Appointment of Robert J. Giroux as Secretary of the Treasury Board and concurrently Comptroller General of Canada, to hold office during pleasure, effective May 9, 1994."
1994-0817,," PC Number Date Chapter Bill Dept 1994-08171994-05-240, , PMO, , , PrecisAppointment of Robert A. Wright as Special Advisor to the Under-Secretary of State for External Affairs, to hold office during pleasure, effective May 31, 1994. Attachments",1994-05-24,NA,"Appointment of Robert A. Wright as Special Advisor to the Under-Secretary of State for External Affairs, to hold office during pleasure, effective May 31, 1994."
1994-1199,," PC Number Date Chapter Bill Dept 1994-11991994-07-120, , , PMO, , PrecisAppointment of DR. ROLAND DORÉ as Special Advisor to the Secretary of State (Science, Research and Development), to hold office during pleasure, effective August 1, 1994. Attachments",1994-07-12,NA,"Appointment of DR. ROLAND DORÉ as Special Advisor to the Secretary of State (Science, Research and Development), to hold office during pleasure, effective August 1, 1994."
1994-1607,," PC Number Date Chapter Bill Dept 1994-16071994-09-270, , , , PMOPrecisTerminate the appointment of Marlene Catterall as Parliamentary Secretary to the President of the Treasury Board made by Order in Council P.C. 1993-1999 of December 6, 1993. Attachments",1994-09-27,NA,"Terminate the appointment of Marlene Catterall as Parliamentary Secretary to the President of the Treasury Board made by Order in Council P.C. 1993-1999 of December 6, 1993."
1994-1917,," PC Number Date Chapter Bill Dept 1994-19171994-11-220, EA, , , PrecisAppointment of the Under-Secretary of State for External Affairs as Alternate Governor of the European Bank for Reconstruction and Development. Attachments",1994-11-22,NA,Appointment of the Under-Secretary of State for External Affairs as Alternate Governor of the European Bank for Reconstruction and Development.
